date	open	high	low	close	sma	std	upper	lower	buy	sell
2022-02-01 00:00:00	38466.90000000	38649.90000000	38175.86000000	38596.82000000						
2022-02-01 04:00:00	38596.82000000	38644.57000000	38240.00000000	38440.77000000						
2022-02-01 08:00:00	38440.76000000	39100.00000000	38000.00000000	38425.06000000						
2022-02-01 12:00:00	38425.05000000	39034.47000000	38190.42000000	38630.33000000						
2022-02-01 16:00:00	38630.32000000	39265.20000000	38341.06000000	38378.09000000						
2022-02-01 20:00:00	38378.10000000	38889.00000000	38369.00000000	38694.59000000						
2022-02-02 00:00:00	38694.59000000	38855.92000000	38374.78000000	38552.87000000						
2022-02-02 04:00:00	38552.87000000	38555.33000000	38196.42000000	38284.69000000						
2022-02-02 08:00:00	38282.14000000	38597.95000000	38225.00000000	38490.00000000						
2022-02-02 12:00:00	38490.00000000	38773.41000000	37361.49000000	37429.78000000						
2022-02-02 16:00:00	37429.78000000	37674.34000000	37066.66000000	37566.56000000						
2022-02-02 20:00:00	37566.56000000	37662.14000000	36586.95000000	36896.36000000						
2022-02-03 00:00:00	36896.37000000	37049.65000000	36720.01000000	36820.83000000						
2022-02-03 04:00:00	36822.50000000	37093.03000000	36780.04000000	37024.16000000						
2022-02-03 08:00:00	37024.16000000	37106.91000000	36250.73000000	36785.00000000						
2022-02-03 12:00:00	36785.00000000	36976.89000000	36250.00000000	36910.05000000						
2022-02-03 16:00:00	36910.06000000	37104.60000000	36449.43000000	36551.70000000						
2022-02-03 20:00:00	36551.71000000	37387.00000000	36270.00000000	37311.61000000						
2022-02-04 00:00:00	37311.98000000	37445.50000000	37026.73000000	37297.62000000						
2022-02-04 04:00:00	37297.61000000	38222.00000000	37245.00000000	37869.31000000	37747.81	758.4098460178626	39264.62969203572	36230.990307964275		
2022-02-04 08:00:00	37869.31000000	38236.08000000	37763.74000000	37810.00000000	37708.469	731.9986959500862	39172.46639190017	36244.471608099826		
2022-02-04 12:00:00	37810.00000000	39819.91000000	37290.20000000	39490.87000000	37760.974	819.6974023279288	39400.36880465586	36121.579195344144		39490.87
2022-02-04 16:00:00	39490.88000000	40877.00000000	39442.89000000	40727.91000000	37876.1165	1047.8729307972555	39971.86236159451	35780.37063840548		40727.91
2022-02-04 20:00:00	40727.92000000	41772.33000000	40382.84000000	41574.25000000	38023.3125	1328.5674127613233	40680.44732552265	35366.17767447735		41574.25
2022-02-05 00:00:00	41571.70000000	41913.69000000	41173.36000000	41447.85000000	38176.8005	1533.2654304885762	41243.33136097715	35110.269639022845		41447.85
2022-02-05 04:00:00	41447.85000000	41748.18000000	41369.69000000	41379.99000000	38311.0705	1690.5138283793622	41692.09815675873	34930.042843241274		
2022-02-05 08:00:00	41379.99000000	41669.00000000	41099.92000000	41430.00000000	38454.927	1828.9235178797646	42112.77403575953	34797.079964240475		
2022-02-05 12:00:00	41430.00000000	41899.54000000	41326.17000000	41761.85000000	38628.785	1971.5942047957594	42571.97340959152	34685.59659040849		
2022-02-05 16:00:00	41761.87000000	41854.81000000	40843.01000000	41544.90000000	38781.53	2075.8553744344613	42933.24074886892	34629.81925113108		
2022-02-05 20:00:00	41544.90000000	41771.85000000	41349.81000000	41382.59000000	38979.1705	2127.90216549064	43234.97483098128	34723.36616901872		
2022-02-06 00:00:00	41382.60000000	41640.00000000	41340.35000000	41444.04000000	39173.0445	2168.673564548948	43510.391629097896	34835.69737090211		
2022-02-06 04:00:00	41444.03000000	41714.18000000	41305.29000000	41612.33000000	39408.843	2164.48071258407	43737.80442516814	35079.88157483186		
2022-02-06 08:00:00	41612.32000000	41700.01000000	41444.00000000	41522.00000000	39643.9015	2123.516567021187	43890.93463404237	35396.86836595763		
2022-02-06 12:00:00	41522.00000000	42168.00000000	41116.56000000	41519.49000000	39868.668	2068.835379245258	44006.338758490514	35730.99724150948		
2022-02-06 16:00:00	41519.48000000	41747.40000000	41417.23000000	41717.94000000	40115.315	1973.7170442633922	44062.74908852678	36167.88091147322		
2022-02-06 20:00:00	41717.93000000	42656.00000000	41478.86000000	42380.87000000	40388.856	1883.1404706204091	44155.13694124082	36622.57505875918		
2022-02-07 00:00:00	42380.87000000	42944.20000000	41645.85000000	42818.99000000	40702.2205	1725.9014654757525	44154.02343095151	37250.4175690485		
2022-02-07 04:00:00	42819.00000000	43000.00000000	42551.96000000	42723.92000000	40972.836	1584.8353032625832	44142.50660652517	37803.16539347484		
2022-02-07 08:00:00	42723.91000000	42767.69000000	42234.09000000	42720.03000000	41243.9565	1372.621455606901	43989.199411213805	38498.713588786195		
2022-02-07 12:00:00	42720.03000000	43895.02000000	42490.02000000	43835.59000000	41542.2705	1242.7940485241902	44027.85859704838	39056.68240295162		
2022-02-07 16:00:00	43835.59000000	44500.50000000	43484.91000000	44252.80000000	41864.4105	1043.4721237316546	43951.35474746331	39777.46625253669		44252.8
2022-02-07 20:00:00	44252.31000000	44438.93000000	43742.90000000	43839.99000000	42081.8665	973.6346716801349	44029.135843360265	40134.59715663973		
2022-02-08 00:00:00	43839.99000000	44185.00000000	43555.72000000	44178.57000000	42254.3995	1025.4380231033506	44305.2755462067	40203.5234537933		
2022-02-08 04:00:00	44178.57000000	45492.00000000	44073.73000000	44855.00000000	42418.437	1163.960870101494	44746.35874020299	40090.51525979701		44855.0
2022-02-08 08:00:00	44855.00000000	44919.77000000	43520.96000000	43988.30000000	42545.4595	1190.776607258698	44927.01271451739	40163.906285482604		
2022-02-08 12:00:00	43988.30000000	43988.31000000	42854.81000000	43429.31000000	42647.9255	1173.2527113092633	44994.43092261852	40301.420077381474		
2022-02-08 16:00:00	43429.32000000	43685.20000000	42666.00000000	42998.65000000	42726.358	1139.4954695533884	45005.34893910678	40447.36706089322		
2022-02-08 20:00:00	43000.53000000	44393.36000000	42938.36000000	44042.99000000	42840.415	1151.9688577182535	45144.35271543651	40536.477284563494		
2022-02-09 00:00:00	44043.00000000	44341.88000000	43117.92000000	43343.28000000	42930.334	1115.1213834254545	45160.576766850914	40700.09123314909		
2022-02-09 04:00:00	43343.28000000	43918.52000000	43125.00000000	43807.75000000	43051.592	1068.8581115998052	45189.30822319961	40913.875776800385		
2022-02-09 08:00:00	43807.75000000	43939.00000000	43181.91000000	43715.45000000	43165.1625	1007.9999591159237	45181.16241823185	41149.16258176815		
2022-02-09 12:00:00	43715.46000000	44471.40000000	43617.61000000	43867.63000000	43277.9275	949.6001193016491	45177.127738603296	41378.7272613967		
2022-02-09 16:00:00	43867.63000000	44700.00000000	43579.66000000	44463.43000000	43424.999	889.1924667324627	45203.38393346493	41646.614066535076		
2022-02-09 20:00:00	44466.23000000	44799.00000000	44189.00000000	44372.72000000	43567.6605	790.8278835996897	45149.31626719938	41986.00473280062		
2022-02-10 00:00:00	44372.71000000	44400.00000000	43542.14000000	43775.42000000	43670.5345	660.6537022763122	44991.841904552624	42349.22709544738		
2022-02-10 04:00:00	43775.42000000	44131.60000000	43575.22000000	44092.42000000	43756.112	592.1008828837045	44940.31376576741	42571.91023423259		
2022-02-10 08:00:00	44092.43000000	45177.96000000	44055.86000000	44834.09000000	43856.867	595.6815282921788	45048.230056584354	42665.50394341564		
