date	open	high	low	close	sma	std	upper	lower	buy	sell
2022-02-17 05:00:00	94.93000000	94.93000000	93.99000000	94.51000000						
2022-02-17 05:05:00	94.49000000	94.90000000	94.28000000	94.77000000						
2022-02-17 05:10:00	94.78000000	94.91000000	94.56000000	94.59000000						
2022-02-17 05:15:00	94.60000000	94.60000000	94.11000000	94.32000000						
2022-02-17 05:20:00	94.30000000	94.54000000	94.25000000	94.35000000						
2022-02-17 05:25:00	94.39000000	95.09000000	94.37000000	94.88000000						
2022-02-17 05:30:00	94.88000000	94.90000000	94.34000000	94.57000000						
2022-02-17 05:35:00	94.57000000	94.75000000	94.30000000	94.34000000						
2022-02-17 05:40:00	94.37000000	94.56000000	94.31000000	94.35000000						
2022-02-17 05:45:00	94.37000000	94.37000000	94.05000000	94.09000000						
2022-02-17 05:50:00	94.10000000	94.29000000	93.95000000	94.08000000						
2022-02-17 05:55:00	94.07000000	94.35000000	94.04000000	94.14000000						
2022-02-17 06:00:00	94.16000000	94.41000000	94.02000000	94.23000000						
2022-02-17 06:05:00	94.21000000	94.35000000	94.03000000	94.04000000						
2022-02-17 06:10:00	94.03000000	94.16000000	93.71000000	93.96000000						
2022-02-17 06:15:00	93.97000000	94.31000000	93.87000000	94.28000000						
2022-02-17 06:20:00	94.27000000	94.55000000	94.23000000	94.45000000						
2022-02-17 06:25:00	94.44000000	94.73000000	94.33000000	94.70000000						
2022-02-17 06:30:00	94.69000000	94.72000000	94.42000000	94.60000000						
2022-02-17 06:35:00	94.60000000	94.81000000	94.51000000	94.75000000	94.4	0.2662606558282785	94.93252131165656	93.86747868834345		
2022-02-17 06:40:00	94.76000000	95.26000000	94.74000000	95.24000000	94.4365	0.32556469160683443	95.08762938321367	93.78537061678632		95.24
2022-02-17 06:45:00	95.23000000	95.25000000	95.03000000	95.07000000	94.4515	0.34788496283746145	95.14726992567492	93.75573007432507		
2022-02-17 06:50:00	95.07000000	95.12000000	94.70000000	94.73000000	94.4585	0.3522002271435967	95.1629004542872	93.7540995457128		
2022-02-17 06:55:00	94.72000000	94.82000000	94.61000000	94.70000000	94.4775	0.3545772130298302	95.18665442605966	93.76834557394035		
2022-02-17 07:00:00	94.70000000	94.75000000	94.36000000	94.40000000	94.48	0.35380636988107284	95.18761273976214	93.77238726023786		
2022-02-17 07:05:00	94.41000000	94.46000000	94.11000000	94.21000000	94.4465	0.3455624705500186	95.13762494110004	93.75537505889996		
2022-02-17 07:10:00	94.22000000	94.37000000	94.10000000	94.29000000	94.4325	0.3459673699247258	95.12443473984946	93.74056526015055		
2022-02-17 07:15:00	94.27000000	94.27000000	93.90000000	93.97000000	94.414	0.3607506793224084	95.13550135864482	93.69249864135519		
2022-02-17 07:20:00	93.99000000	94.32000000	93.93000000	94.24000000	94.4085	0.36261150735071546	95.13372301470143	93.68327698529858		
2022-02-17 07:25:00	94.25000000	94.25000000	94.01000000	94.17000000	94.4125	0.35933967217661916	95.13117934435323	93.69382065564676		
2022-02-17 07:30:00	94.17000000	94.57000000	94.02000000	94.42000000	94.4295	0.35072068658692035	95.13094137317384	93.72805862682617		
2022-02-17 07:35:00	94.41000000	94.51000000	94.17000000	94.18000000	94.4315	0.34909318617180113	95.1296863723436	93.7333136276564		
2022-02-17 07:40:00	94.19000000	94.49000000	94.17000000	94.46000000	94.443	0.3458795044216246	95.13475900884325	93.75124099115675		
2022-02-17 07:45:00	94.46000000	94.89000000	94.45000000	94.79000000	94.4805	0.3405023378851699	95.16150467577035	93.79949532422967		
2022-02-17 07:50:00	94.80000000	94.80000000	94.55000000	94.65000000	94.515	0.31928373786205083	95.1535674757241	93.8764325242759		
2022-02-17 07:55:00	94.64000000	94.85000000	94.63000000	94.63000000	94.5325	0.31529226207809435	95.16308452415619	93.90191547584381		
2022-02-17 08:00:00	94.65000000	94.77000000	94.06000000	94.34000000	94.527	0.3177569412054065	95.16251388241082	93.89148611758918		
2022-02-17 08:05:00	94.34000000	94.69000000	94.25000000	94.64000000	94.524	0.31631762850854295	95.15663525701709	93.89136474298292		
2022-02-17 08:10:00	94.65000000	94.72000000	94.41000000	94.62000000	94.525	0.31660202479653976	95.15820404959308	93.89179595040693		
2022-02-17 08:15:00	94.62000000	94.75000000	94.32000000	94.39000000	94.507	0.31335367608469783	95.1337073521694	93.88029264783061		
